,k_cluster,count_in_cluster,Centroid_Lat,Centroid_Lon
0,0,1755,45.34552844141069,-126.45445563139933
1,1,1186,32.429360134003346,-76.81780318257957
2,2,1385,27.81260562364816,-87.9966582552271
3,3,1464,36.37498083504449,-124.67180629705682
4,4,1653,41.227158866995076,-68.43771366995075
5,5,400,45.179137499999996,-87.0764
6,6,1363,34.77170903747245,-73.79686260102866
7,7,1218,29.571426362896666,-79.21924328722537
8,8,1806,40.68504314159292,-126.62224612831861
9,9,1247,27.589976688102894,-91.55722347266881
10,10,1313,38.83129509433962,-72.12648905660379
11,11,1520,32.71481291172596,-121.55129183135705
12,12,1062,27.476516949152547,-95.05929755178907
13,13,1788,26.2494220234768,-83.68492845164897
14,14,268,42.81071641791045,-81.07335447761194
